RAM!CPU
26828800!1.0
27000832!1.0
27037696!1.0
27213824!2.0
27533312!2.0
27537408!2.0
27541504!3.0
27545600!2.0
27545600!2.0
27549696!1.0
27549696!1.0
27549696!3.0
27549696!2.0
